movie,certificate_G,certificate_Missing,certificate_Not Rated,certificate_PG,certificate_PG-13,certificate_R,certificate_TV-MA,certificate_TV-PG,certificate_Unrated,duration,rate,metascore,votes,gross,user_reviews,critic_reviews,popularity,awards_nominations,Oscar_nominated,Golden_Globes_nominated,BAFTA_won,BAFTA_nominated,Screen_Actors_Guild_won,Screen_Actors_Guild_nominated,Critics_Choice_won,Critics_Choice_nominated,Directors_Guild_won,Directors_Guild_nominated,Producers_Guild_won,Producers_Guild_nominated,Art_Directors_Guild_won,Art_Directors_Guild_nominated,Writers_Guild_won,Writers_Guild_nominated,Costume_Designers_Guild_won,Costume_Designers_Guild_nominated,Online_Film_Television_Association_won,Online_Film_Television_Association_nominated,Online_Film_Critics_Society_won,Online_Film_Critics_Society_nominated,People_Choice_won,People_Choice_nominated,London_Critics_Circle_Film_won,London_Critics_Circle_Film_nominated,American_Cinema_Editors_won,American_Cinema_Editors_nominated,Hollywood_Film_won,Hollywood_Film_nominated,Austin_Film_Critics_Association_won,Austin_Film_Critics_Association_nominated,Denver_Film_Critics_Society_won,Denver_Film_Critics_Society_nominated,Boston_Society_of_Film_Critics_won,Boston_Society_of_Film_Critics_nominated,New_York_Film_Critics_Circle_won,New_York_Film_Critics_Circle_nominated,Los_Angeles_Film_Critics_Association_won,Los_Angeles_Film_Critics_Association_nominated,Oscar_Best_Picture_nominated,Oscar_Best_Director_won,Oscar_Best_Director_nominated,Oscar_Best_Actor_won,Oscar_Best_Actor_nominated,Oscar_Best_Actress_won,Oscar_Best_Actress_nominated,Oscar_Best_Supporting_Actor_won,Oscar_Best_Supporting_Actor_nominated,Oscar_Best_Supporting_Actress_won,Oscar_Best_Supporting_Actress_nominated,Oscar_Best_AdaScreen_won,Oscar_Best_AdaScreen_nominated,Oscar_Best_OriScreen_won,Oscar_Best_OriScreen_nominated,Oscar_Best_Picture_won
Star Wars: Episode II - Attack of the Clones,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.2103083728077992,-0.44566209023741904,-0.5985962981754022,1.5693460373109902,2.1399156951793326,5.127280934129553,0.17306484153190205,-0.7083605144993019,-0.29685439496008104,-0.20973851625848774,-0.5888443998384513,-0.3401229940115147,-0.4977248082908843,-0.24882644365339338,-0.46702482651712074,-0.36867803302591867,-0.19705985993268596,-0.13152257528233016,-0.29734485436704267,-0.18295574149853927,-0.4199975640211929,-0.2012598041070047,-0.4900392047046273,-0.17597944920684494,-0.40406819163549923,-0.18993110725564605,-0.44089762492818146,-0.34675169967083896,0.24943870610066002,-0.2876066269190724,0.562067167204404,-0.18619896680161344,-0.3475809112442939,-0.2874229588640674,-0.4660615261207055,-0.19890271381328503,-0.4513354669242201,-0.3673472936746696,-0.3670629935962937,-0.2478849282121688,-0.3285928786226226,-0.24684093636354254,-0.37326148506948903,-0.2851065086318224,-0.3618911610085309,-0.2875794809096283,-0.37110749515676245,-0.32044856715479764,-0.3741815012817925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Star Wars: Episode III - Revenge of the Sith,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.1203808187111395,0.6490411104238055,0.22576747820253396,1.8717379314628257,2.805223085703487,4.732715859484366,0.6170746368334133,-0.8614424035976195,-0.2366548583795063,-0.20973851625848774,-0.5888443998384513,-0.3401229940115147,-0.4977248082908843,-0.24882644365339338,-0.46702482651712074,-0.36867803302591867,-0.6130751197905786,-0.13152257528233016,-0.29734485436704267,-0.18295574149853927,-0.4199975640211929,-0.2012598041070047,-0.4900392047046273,-0.17597944920684494,-0.40406819163549923,-0.18993110725564605,2.2681002197797993,-0.34675169967083896,0.526967356582025,-0.2876066269190724,-0.49770833126496833,4.759085420295001,2.2383373139768086,-0.2874229588640674,-0.4660615261207055,-0.19890271381328503,-0.4513354669242201,-0.3673472936746696,-0.3670629935962937,-0.2478849282121688,-0.3285928786226226,-0.24684093636354254,-0.37326148506948903,-0.2851065086318224,-0.3618911610085309,-0.2875794809096283,-0.37110749515676245,-0.32044856715479764,-0.3741815012817925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shrek,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.127808033705358,1.0139423840881274,1.1678975083487466,1.5573581111050334,1.7284730821546936,0.6607350672031163,-0.366577832757627,-0.2013376971036007,0.6663381903291147,0.22125494061211526,0.07589310820586982,1.9742125299786817,2.106894421536413,-0.24882644365339338,-0.46702482651712074,0.7611417456018966,0.2189553999252067,-0.13152257528233016,-0.29734485436704267,-0.18295574149853927,2.1734873938096735,-0.2012598041070047,-0.4900392047046273,-0.17597944920684494,-0.40406819163549923,-0.18993110725564605,-0.44089762492818146,1.1024474512377433,0.526967356582025,2.187614169213711,1.09195491643909,2.286443226746694,0.9453782013662573,-0.2874229588640674,-0.4660615261207055,-0.19890271381328503,2.215646837627989,-0.3673472936746696,-0.3670629935962937,-0.2478849282121688,-0.3285928786226226,-0.24684093636354254,-0.37326148506948903,-0.2851065086318224,-0.3618911610085309,-0.2875794809096283,0.8318262489865489,1.4153145049336895,0.7420362622037479,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Planet of the Apes,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.17614150069621048,-1.6619988582273229,-0.8341288057119554,-0.029658485010231914,0.8904802723596819,1.3858349192922974,-0.24362127405874698,-0.12333418673503126,-0.3570539315406558,-0.6407319731290907,-0.5888443998384513,-0.3401229940115147,0.2464521145169149,-0.24882644365339338,-0.46702482651712074,-0.36867803302591867,-0.6130751197905786,-0.13152257528233016,-0.29734485436704267,-0.18295574149853927,-0.4199975640211929,-0.2012598041070047,-0.4900392047046273,-0.17597944920684494,-0.40406819163549923,-0.18993110725564605,2.2681002197797993,-0.34675169967083896,-0.02808994438070501,-0.2876066269190724,-0.49770833126496833,-0.18619896680161344,-0.3475809112442939,-0.2874229588640674,-0.4660615261207055,-0.19890271381328503,-0.4513354669242201,-0.3673472936746696,-0.3670629935962937,-0.2478849282121688,-0.3285928786226226,-0.24684093636354254,-0.37326148506948903,-0.2851065086318224,-0.3618911610085309,-0.2875794809096283,-0.37110749515676245,-0.32044856715479764,-0.3741815012817925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Treasure Planet,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.9029891484637083,0.040872726428853576,-0.2452975368705724,-0.5887117217030062,-0.46623811857840824,-0.6042959396636892,-0.9472060266134494,1.2651282978255045,-0.5978520778629547,-0.20973851625848774,-0.5888443998384513,-0.3401229940115147,-0.4977248082908843,-0.24882644365339338,-0.46702482651712074,-0.36867803302591867,-0.6130751197905786,-0.13152257528233016,-0.29734485436704267,-0.18295574149853927,-0.4199975640211929,-0.2012598041070047,-0.4900392047046273,-0.17597944920684494,-0.40406819163549923,-0.18993110725564605,-0.44089762492818146,-0.34675169967083896,-0.30561859486207005,-0.2876066269190724,-0.49770833126496833,-0.18619896680161344,-0.3475809112442939,-0.2874229588640674,-0.4660615261207055,-0.19890271381328503,-0.4513354669242201,-0.3673472936746696,-0.3670629935962937,-0.2478849282121688,-0.3285928786226226,-0.24684093636354254,-0.37326148506948903,-0.2851065086318224,-0.3618911610085309,-0.2875794809096283,-0.37110749515676245,-0.32044856715479764,-0.3741815012817925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pitch Black,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.27349626978708896,0.040872726428853576,-0.8930119325960937,0.05839474957044691,-0.4555289452902931,0.414997169836377,-0.37340875268534257,0.08044998410285638,-0.6580516144435294,-0.6407319731290907,-0.5888443998384513,-0.3401229940115147,-0.4977248082908843,-0.24882644365339338,-0.46702482651712074,-0.36867803302591867,-0.6130751197905786,-0.13152257528233016,-0.29734485436704267,-0.18295574149853927,-0.4199975640211929,-0.2012598041070047,-0.4900392047046273,-0.17597944920684494,-0.40406819163549923,-0.18993110725564605,-0.44089762492818146,-0.34675169967083896,-0.5831472453434351,-0.2876066269190724,-0.49770833126496833,-0.18619896680161344,-0.3475809112442939,-0.2874229588640674,-0.4660615261207055,-0.19890271381328503,-0.4513354669242201,-0.3673472936746696,-0.3670629935962937,-0.2478849282121688,-0.3285928786226226,-0.24684093636354254,-0.37326148506948903,-0.2851065086318224,-0.3618911610085309,-0.2875794809096283,-0.37110749515676245,-0.32044856715479764,-0.3741815012817925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Training Day,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.31103283184120034,0.7706746777524849,0.2846506050866722,0.6783117850600874,-0.10155252107062931,0.12080391242549203,-1.0701625853123296,-0.3319935769709545,-0.2366548583795063,0.22125494061211526,0.07589310820586982,-0.3401229940115147,-0.4977248082908843,-0.24882644365339338,1.854003989372795,-0.36867803302591867,-0.6130751197905786,-0.13152257528233016,-0.29734485436704267,-0.18295574149853927,-0.4199975640211929,-0.2012598041070047,-0.4900392047046273,-0.17597944920684494,-0.40406819163549923,-0.18993110725564605,-0.44089762492818146,-0.34675169967083896,-0.5831472453434351,-0.2876066269190724,0.032179417969717794,-0.18619896680161344,-0.3475809112442939,-0.2874229588640674,-0.4660615261207055,-0.19890271381328503,-0.4513354669242201,-0.3673472936746696,-0.3670629935962937,-0.2478849282121688,-0.3285928786226226,-0.24684093636354254,-0.37326148506948903,1.4077133863696234,0.7498888983087221,-0.2875794809096283,0.8318262489865489,1.4153145049336895,0.7420362622037479,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
U-571,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.04125016955122064,-0.5672956575660983,-0.12753128310229583,-0.6295693887238341,-0.09361625872318682,0.06888745523533585,-0.598829110299956,1.9164576094030592,-0.6580516144435294,0.22125494061211526,-0.5888443998384513,-0.3401229940115147,-0.4977248082908843,-0.24882644365339338,-0.46702482651712074,-0.36867803302591867,-0.6130751197905786,-0.13152257528233016,-0.29734485436704267,-0.18295574149853927,-0.4199975640211929,-0.2012598041070047,-0.4900392047046273,-0.17597944920684494,-0.40406819163549923,-0.18993110725564605,-0.44089762492818146,-0.34675169967083896,-0.5831472453434351,-0.2876066269190724,-0.49770833126496833,-0.18619896680161344,-0.3475809112442939,-0.2874229588640674,-0.4660615261207055,-0.19890271381328503,-0.4513354669242201,-0.3673472936746696,-0.3670629935962937,-0.2478849282121688,-0.3285928786226226,-0.24684093636354254,-0.37326148506948903,-0.2851065086318224,-0.3618911610085309,-0.2875794809096283,-0.37110749515676245,-0.32044856715479764,-0.3741815012817925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Psycho,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5882427091253987,0.6490411104238055,-0.009765029334019234,0.96760255092289,-0.6868279647898519,0.8701314445367462,0.12524840203789314,-0.7366367870079084,-0.47745300470180524,-0.6407319731290907,-0.5888443998384513,-0.3401229940115147,-0.4977248082908843,-0.24882644365339338,-0.46702482651712074,-0.36867803302591867,-0.6130751197905786,-0.13152257528233016,-0.29734485436704267,-0.18295574149853927,-0.4199975640211929,-0.2012598041070047,-0.4900392047046273,-0.17597944920684494,-0.40406819163549923,-0.18993110725564605,-0.44089762492818146,-0.34675169967083896,-0.5831472453434351,-0.2876066269190724,0.032179417969717794,-0.18619896680161344,-0.3475809112442939,-0.2874229588640674,0.8803384382279993,-0.19890271381328503,-0.4513354669242201,-0.3673472936746696,-0.3670629935962937,-0.2478849282121688,-0.3285928786226226,-0.24684093636354254,-0.37326148506948903,-0.2851065086318224,-0.3618911610085309,-0.2875794809096283,-0.37110749515676245,-0.32044856715479764,-0.3741815012817925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spider-Man,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2660690547928704,0.28414043276449624,0.5201831126232255,1.9659032755939794,3.0294464014233986,2.507230394599671,0.17306484153190205,-0.8126902096172636,-0.29685439496008104,0.22125494061211526,-0.5888443998384513,-0.3401229940115147,-0.1256363468869847,-0.24882644365339338,-0.46702482651712074,-0.36867803302591867,-0.19705985993268596,-0.13152257528233016,-0.29734485436704267,-0.18295574149853927,-0.4199975640211929,-0.2012598041070047,-0.4900392047046273,-0.17597944920684494,-0.40406819163549923,-0.18993110725564605,-0.44089762492818146,-0.34675169967083896,-0.02808994438070501,-0.2876066269190724,0.032179417969717794,2.286443226746694,0.9453782013662573,-0.2874229588640674,-0.4660615261207055,-0.19890271381328503,-0.4513354669242201,-0.3673472936746696,-0.3670629935962937,-0.2478849282121688,-0.3285928786226226,-0.24684093636354254,-0.37326148506948903,-0.2851065086318224,-0.3618911610085309,-0.2875794809096283,-0.37110749515676245,-0.32044856715479764,-0.3741815012817925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lara Croft: Tomb Raider,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.6781702632220585,-1.6619988582273229,-1.8351419627423065,-0.13433623749194415,0.42319697004701384,0.44787759272347594,-0.4622107117456448,0.7776063580219457,-0.6580516144435294,-0.6407319731290907,-0.5888443998384513,-0.3401229940115147,-0.4977248082908843,-0.24882644365339338,-0.46702482651712074,-0.36867803302591867,-0.6130751197905786,-0.13152257528233016,-0.29734485436704267,-0.18295574149853927,-0.4199975640211929,-0.2012598041070047,-0.4900392047046273,-0.17597944920684494,-0.40406819163549923,-0.18993110725564605,-0.44089762492818146,-0.34675169967083896,-0.5831472453434351,-0.2876066269190724,-0.49770833126496833,-0.18619896680161344,-0.3475809112442939,-0.2874229588640674,-0.4660615261207055,-0.19890271381328503,-0.4513354669242201,-0.3673472936746696,-0.3670629935962937,-0.2478849282121688,-0.3285928786226226,-0.24684093636354254,-0.37326148506948903,-0.2851065086318224,-0.3618911610085309,-0.2875794809096283,-0.37110749515676245,-0.32044856715479764,-0.3741815012817925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
